recipeID,Ingredients,Seasonings,Steps
14104,2,3,6
14105,1,10,3
14106,2,7,7
14107,2,7,4
14108,2,3,6
14109,3,7,2
14110,2,2,6
14111,2,6,6
14112,2,8,9
14113,4,3,5
14114,1,6,3
14115,2,1,4
14116,2,7,3
14117,3,10,8
14118,2,8,3
14119,2,6,3
14120,3,8,8
14121,3,8,3
14122,5,11,8
14123,3,3,4
14124,3,7,3
14125,4,4,9
14126,3,2,4
14127,3,3,9
14128,4,2,6
14129,4,2,4
14130,3,3,5
14131,2,4,6
14132,5,4,8
27498,2,1,4
27499,1,7,3
27501,9,2,3
27502,3,2,5
27503,1,7,2
27504,2,7,4
27505,2,3,4
27506,2,1,5
27507,1,2,3
27508,2,3,4
27509,4,6,9
27510,5,9,3
27511,2,3,5
27512,3,11,2
27513,3,4,9
27514,4,3,9
27515,1,8,6
27516,1,5,7
27518,1,1,4
27519,1,9,6
27520,2,8,4
27521,3,2,5
27522,5,8,5
27524,3,7,12
27525,3,12,5
27526,4,8,12
27527,2,6,6
27528,1,3,8
27529,3,3,3
27530,1,5,2
27531,5,6,5
27532,7,3,7
27533,3,1,2
27534,3,3,5
27535,5,2,12
27536,2,1,2
27537,2,9,2
27538,2,3,2
27539,1,3,2
27540,2,9,6
27542,2,4,2
27543,2,8,7
27544,2,5,4
27545,2,3,5
27546,2,3,4
27547,2,2,2
27548,1,1,2
27549,1,10,4
27550,1,5,2
27552,3,7,4
27553,2,3,4
27554,3,5,13
27555,1,5,6
27556,7,14,13
27557,1,5,5
27558,1,9,5
27559,1,4,4
27560,4,6,7
27561,3,11,6
27562,1,4,6
27563,5,16,4
27565,2,5,3
27566,2,1,5
27567,1,6,6
27568,1,6,4
27569,1,5,2
27570,3,6,8
27571,2,1,5
27572,2,7,6
27574,1,7,5
27575,3,1,5
27576,3,10,5
27577,1,6,4
27578,1,17,10
27579,2,10,7
27580,4,6,4
27581,7,7,8
27582,2,6,6
27583,2,10,11
27584,2,4,2
27585,4,8,4
27586,2,3,7
27587,3,0,5
27588,6,3,5
27589,1,8,5
27590,4,5,8
27591,2,9,7
27592,2,11,10
27593,2,5,6
27594,1,9,6
27595,5,8,7
27596,3,2,3
27597,1,4,7
27598,1,10,7
27599,2,1,7
27600,1,11,3
27601,1,1,5
27602,4,16,15
27603,2,9,5
27604,3,9,5
27605,1,5,4
27606,1,4,1
27607,1,13,3
27608,2,3,7
27610,1,3,8
27611,1,10,3
27612,1,7,3
27613,2,2,5
27614,1,5,2
27615,1,5,3
27616,1,9,3
27617,1,10,3
27618,1,10,9
27619,3,19,10
27620,1,2,3
27621,1,9,2
27622,1,7,4
27623,2,6,3
27624,1,5,12
27625,1,5,5
27626,2,2,4
27627,1,11,4
27628,1,3,3
27629,1,4,2
27630,2,7,5
27631,1,7,3
27632,0,11,3
27633,1,10,4
27634,1,3,2
27635,1,7,5
27636,2,5,4
27637,2,8,4
27638,1,5,3
27639,1,4,2
27640,2,7,4
27641,0,2,3
27642,1,2,2
27643,1,5,3
27644,1,4,3
27645,2,7,5
27646,3,2,3
27647,1,7,3
27648,1,2,3
27649,2,6,5
27650,2,1,5
27651,1,3,2
27652,3,6,4
27653,1,6,7
27654,2,12,3
27655,3,7,12
27656,3,14,3
27657,2,8,4
27658,2,9,4
27660,1,8,2
27661,2,12,4
27662,1,8,5
27663,1,5,4
27664,2,6,3
27665,1,3,2
27666,1,9,5
27667,2,3,2
27668,2,8,2
27669,1,2,2
27670,0,3,2
27671,2,3,4
27672,2,4,4
27673,1,11,5
27674,2,3,2
27675,1,6,3
27676,1,10,4
27677,2,12,3
27678,2,9,3
27679,1,10,5
27680,2,8,4
27681,2,2,3
27682,1,13,7
27683,2,15,4
27684,2,3,4
27685,1,3,4
27686,2,5,8
27687,1,5,3
27688,2,11,10
27691,1,5,7
27692,1,4,4
27693,1,9,4
27694,1,13,12
27697,3,2,6
27699,2,3,3
27700,1,8,5
27701,1,9,18
27702,1,2,2
27703,3,11,16
27704,3,6,3
27705,1,8,4
27706,1,5,4
27707,1,3,5
27708,3,3,4
27709,2,3,4
27710,1,6,4
27711,1,7,3
27712,3,2,5
27713,1,7,4
27714,2,2,8
27715,2,2,4
27716,1,10,7
27717,8,3,16
27718,5,6,8
27719,3,5,6
27720,1,2,8
27721,4,6,7
27722,2,4,7
27723,6,5,9
27724,1,2,4
27725,1,4,8
27726,1,2,5
27727,1,6,6
27728,3,6,4
27729,3,5,5
27731,4,4,7
27732,0,5,4
27733,3,4,8
27734,1,7,3
27735,3,1,4
27736,5,6,3
27737,2,9,9
27738,1,8,6
27739,1,10,9
27740,3,3,10
27741,1,8,4
27742,1,7,4
27743,4,1,11
27744,1,8,3
27745,1,11,3
27746,2,9,5
27747,2,9,6
27748,1,2,3
27749,5,8,16
27750,4,3,7
27751,1,3,6
27752,1,3,3
27753,0,3,1
27754,7,7,11
27755,2,4,4
27756,1,5,5
27757,1,7,4
27758,1,4,5
27760,1,7,7
27761,0,7,7
27762,1,4,5
27764,1,4,5
27765,1,2,1
27766,1,7,4
27769,1,10,6
27770,2,5,3
27771,2,6,3
27772,1,3,3
27773,1,2,3
27774,1,2,3
27775,0,3,4
27776,1,9,3
27777,1,3,2
27778,1,5,3
27779,1,3,3
27780,5,10,12
27782,2,6,5
27783,2,6,6
27784,6,6,7
27786,2,3,9
27788,7,9,11
27790,2,4,6
27792,2,2,3
27793,5,9,12
27796,0,6,7
27797,5,4,6
27798,2,1,4
27799,4,3,10
27800,5,5,10
27801,4,3,4
27803,8,7,11
27804,2,2,4
27806,3,5,6
27809,4,3,4
27810,5,10,11
27812,1,4,5
27813,5,3,7
27814,1,2,7
27815,1,2,3
27816,4,5,6
27817,4,8,11
27818,4,4,16
27819,3,8,18
27821,5,4,7
27822,6,4,12
27823,4,3,8
27824,6,2,6
27825,3,8,15
27826,4,5,8
27827,1,1,6
27828,3,5,13
27829,5,3,5
27830,2,6,5
27831,1,10,9
27832,2,7,8
27833,1,4,8
27834,1,5,10
27835,1,8,3
27836,1,4,2
27837,2,3,5
27839,2,7,10
27840,2,11,7
27841,2,4,6
27844,2,7,3
27845,1,9,6
27847,0,0,1
27848,3,5,5
27849,2,6,6
27853,1,5,3
27855,2,6,8
27856,1,4,2
27857,1,3,4
27858,1,5,2
27859,1,7,5
27861,1,10,1
27863,1,8,2
27864,2,6,8
27865,1,14,4
27866,1,9,5
27869,2,4,5
27870,3,6,10
27871,1,10,12
27872,1,8,3
27873,2,3,5
27874,1,6,3
27875,7,0,4
27876,1,7,2
27877,4,3,6
27878,1,4,3
27879,2,6,8
27880,2,6,6
27881,1,15,7
27883,2,5,4
27884,1,17,12
27885,2,6,3
27886,1,7,2
27887,2,8,11
27888,1,3,2
27889,1,2,3
27890,1,10,2
27891,0,2,2
27892,3,4,13
27893,1,4,6
27894,1,2,4
27895,1,9,6
27896,2,6,4
27897,1,4,4
27898,1,1,2
27899,1,1,2
27900,1,3,3
27901,1,3,2
27902,1,1,1
27903,1,3,2
27904,1,5,2
27905,1,12,9
27906,0,2,3
27908,1,6,7
27909,1,1,2
27911,1,2,1
27912,1,1,1
27913,1,2,2
27914,1,2,3
27915,1,7,4
27916,1,2,3
27917,1,2,5
27918,1,3,3
27919,1,3,5
27921,1,4,4
27922,1,16,7
27923,2,2,3
27924,1,2,4
27925,2,7,7
27926,1,4,5
27927,2,6,8
27928,1,4,4
27929,1,5,8
27930,1,5,7
27931,1,9,8
27932,1,6,5
27933,2,13,10
27934,1,7,4
27935,1,9,5
27936,1,12,6
27937,0,5,6
27938,1,4,4
27939,1,9,3
27940,1,8,5
27941,1,10,7
27942,2,7,3
27943,1,8,3
27944,2,10,6
27945,2,17,6
27946,1,6,3
27947,1,5,5
27948,1,6,3
27949,1,4,4
27950,2,1,3
27951,1,5,3
27953,1,4,2
27954,1,3,3
27955,1,12,6
27956,1,6,7
27957,1,3,7
27958,1,1,2
27959,2,5,4
27960,1,5,5
27961,2,3,11
27962,1,12,6
27963,2,3,4
27964,1,8,4
27965,1,2,6
27967,1,5,5
27968,1,7,4
27970,1,7,5
27971,1,11,6
27972,0,14,3
27973,1,7,3
27974,1,7,6
27975,2,8,5
27976,1,5,2
27977,1,7,5
27978,1,2,3
27979,1,8,4
27980,2,5,3
27981,2,7,3
27982,1,2,4
27983,1,13,5
27984,1,8,3
27986,2,2,7
27987,2,8,3
27988,1,9,5
27989,2,10,5
27990,1,5,8
27992,2,1,5
27993,1,6,6
27994,1,8,5
27995,1,2,6
27996,1,2,7
27997,0,4,5
27998,2,9,4
27999,3,9,5
28000,3,17,15
28001,2,7,11
28002,1,13,8
28003,1,8,5
28004,1,14,3
28005,1,3,4
28007,2,7,10
28008,2,5,5
28009,2,3,8
28010,1,6,11
28012,3,9,13
28013,0,9,4
28014,2,7,11
28015,1,8,5
28016,1,9,3
28017,1,5,15
28018,1,8,3
28019,1,7,3
28020,1,16,8
28021,1,6,2
28022,1,6,4
28023,1,8,2
28024,1,7,3
28025,0,0,2
28026,2,8,2
28027,2,4,13
28028,1,7,3
28029,1,6,3
28030,3,16,18
28033,1,3,5
28035,0,0,1
28045,5,7,18
28046,2,1,4
28047,2,1,3
28048,3,7,4
28049,1,5,3
28050,1,3,2
28051,2,1,4
28052,3,0,4
28053,1,12,3
28054,2,1,6
28055,2,2,2
28056,1,4,4
28057,3,7,3
28058,3,3,3
28059,1,8,3
28060,2,2,1
28061,2,3,3
28062,1,2,3
28063,0,7,3
28064,1,5,4
28065,2,4,4
28066,4,4,4
28067,1,6,5
28070,1,6,3
28073,1,6,3
28075,1,4,4
28077,2,9,10
28080,1,10,4
28081,1,4,2
28084,1,6,4
28086,1,10,5
28089,1,5,4
28091,1,6,3
28093,1,8,3
28095,2,5,5
28098,3,3,3
28100,1,2,3
28101,2,2,3
28103,2,0,3
28105,2,0,3
28107,0,2,3
28108,1,0,3
28109,2,5,5
28110,3,2,3
28111,2,0,5
28113,2,7,3
28116,3,2,3
28120,0,7,4
28123,1,4,6
28124,3,6,4
28125,1,7,6
28126,2,4,5
28127,2,3,4
28128,1,1,3
28129,2,6,10
28130,1,3,4
28131,2,6,4
28132,0,11,8
28134,1,4,4
28135,3,2,3
28136,1,9,5
28137,2,6,5
28138,2,0,2
28140,2,0,3
28141,2,10,3
28142,1,1,4
28143,2,0,4
28145,1,4,5
28146,1,2,3
28147,2,4,6
28148,1,11,2
28149,1,7,3
28150,2,2,3
28151,1,1,3
28153,3,0,2
28154,2,4,2
28155,2,8,2
28156,4,1,3
28158,4,0,3
28159,3,0,3
28160,1,3,3
28161,2,0,3
28162,2,3,2
28163,1,4,4
28164,1,5,2
28165,3,3,3
28166,1,6,5
28167,1,4,6
28168,3,0,2
28169,1,2,2
28170,1,2,2
28171,2,5,2
28172,1,2,2
28173,2,5,3
28174,1,7,2
28175,1,2,3
28176,3,0,2
28177,0,3,2
28178,2,0,2
28179,3,2,2
28180,1,5,2
28181,3,0,2
28182,3,1,4
28183,2,5,4
28184,2,7,4
28185,4,4,6
28186,1,7,5
28187,2,4,2
28188,2,6,2
28189,1,6,3
28190,3,9,6
28191,2,7,6
28192,2,4,3
28193,3,1,2
28194,1,6,4
28195,2,3,5
28196,3,9,8
28197,1,2,2
28198,0,14,12
28199,2,8,3
28200,1,9,4
28201,2,5,3
28223,3,13,4
28228,2,2,4
28229,1,3,4
28230,1,3,5
28231,1,9,4
28232,2,5,6
28233,1,7,7
28241,2,5,5
28243,1,6,6
28245,0,7,5
28246,4,5,2
28247,2,6,4
28248,2,7,3
28249,2,5,2
28250,3,7,2
28251,2,4,5
28253,4,5,6
28254,2,5,2
28255,2,5,2
28256,2,4,4
28257,1,3,3
28258,2,8,5
28259,2,8,5
28260,2,8,3
28261,2,9,5
28263,2,9,4
28264,4,4,2
28265,3,5,3
28266,1,4,4
28267,1,8,4
28268,3,4,3
28269,2,5,2
28270,1,7,4
28271,3,4,3
28272,1,1,3
28273,2,6,10
28277,1,5,6
28278,1,5,5
28280,1,7,3
28281,2,7,7
28282,3,6,6
28283,1,5,5
28284,1,2,5
28285,1,5,3
28286,1,3,3
28287,2,3,3
28289,1,8,2
28291,4,1,1
28292,1,6,4
28293,3,4,2
28294,2,4,2
28295,1,6,3
28296,2,5,2
28297,1,9,2
28298,2,4,3
28299,4,5,2
28300,2,5,3
28301,1,6,3
28302,1,2,5
28303,2,5,3
28304,1,2,4
28305,2,3,7
28306,1,0,5
28307,4,7,2
28308,3,5,4
28309,1,3,4
28310,2,7,4
28311,1,4,5
28312,2,10,2
28313,1,6,2
28314,2,5,3
28315,3,7,4
28316,3,6,4
28317,2,10,3
28318,1,11,5
28320,6,0,2
28322,1,2,3
28323,2,3,5
28324,2,3,6
28325,2,8,7
28326,2,6,7
28327,1,7,2
28328,1,6,2
28329,3,5,2
28330,2,6,3
28331,2,7,3
28332,3,7,6
28333,1,8,3
28334,1,2,2
28335,0,0,6
28336,3,3,4
28337,1,11,4
28338,1,5,4
28339,3,5,4
28340,2,4,7
28341,2,9,4
28342,1,7,4
28343,2,9,4
28344,2,1,2
28346,4,4,7
28347,1,11,2
28348,3,4,8
28349,4,9,6
28350,3,6,7
28351,1,1,3
28352,3,6,7
28353,5,7,9
28354,3,8,5
28355,4,4,3
28356,1,3,5
28357,3,8,3
28358,3,5,4
28359,2,7,6
28360,6,9,6
28361,2,7,4
28363,2,2,7
28364,1,6,4
28365,2,3,6
28366,1,9,5
28368,3,7,8
28369,4,8,6
28370,2,9,3
28371,1,7,3
28373,2,6,5
28374,2,8,5
28375,3,2,3
28376,1,2,3
28377,1,1,4
28378,4,7,12
28379,3,10,7
28380,5,22,26
28381,1,5,3
28383,2,4,4
28384,4,4,5
28385,2,7,4
28386,2,5,5
28387,4,3,8
28388,3,2,3
28389,1,2,3
28390,1,2,2
28391,1,4,2
28392,1,2,3
28393,4,2,3
28394,3,2,2
28395,3,10,5
28397,3,2,3
28398,3,0,1
28399,5,3,3
28400,1,2,3
28401,1,7,4
28402,2,2,4
28403,2,1,2
28404,1,6,7
28405,1,3,3
28406,2,2,6
28407,1,7,4
28408,3,2,1
28409,3,2,6
28410,3,5,5
28411,1,5,5
28412,1,5,2
28413,1,6,6
28414,3,4,2
28415,0,4,6
28416,2,1,6
28417,3,3,3
28418,0,0,1
28419,1,3,5
28420,2,3,3
28421,1,1,3
28422,1,3,2
28423,1,6,3
28424,4,12,7
28425,2,6,6
28426,1,2,3
28427,4,7,11
28428,2,4,5
28429,2,3,7
28430,3,2,2
28431,2,7,3
28432,2,10,3
28433,1,6,2
28434,2,8,6
28435,2,1,4
28436,2,9,5
28437,2,7,3
28438,1,8,4
28439,3,3,4
28440,2,10,5
28441,1,7,5
28442,1,9,6
28443,2,4,6
28444,1,8,5
28445,2,8,7
28446,3,13,6
28447,2,4,6
28448,3,5,5
28449,1,2,4
28450,2,9,6
28451,2,4,4
28452,2,4,5
28453,1,11,5
28454,2,7,2
28455,2,8,7
28456,0,12,5
28457,2,9,5
28458,2,4,4
28459,1,4,2
28460,2,5,2
28461,1,8,2
28462,2,10,5
28463,2,5,7
28464,2,12,4
28465,2,1,2
28466,1,6,3
28467,2,6,4
28468,1,4,2
28469,1,7,2
28470,2,5,7
28471,2,10,5
28472,2,5,5
28473,1,9,3
28474,3,4,4
28475,1,3,11
28476,1,4,3
28477,2,6,4
28478,1,5,5
28479,1,2,3
28480,3,7,5
28481,2,5,4
28482,2,1,3
28483,1,8,6
28484,2,9,7
28485,2,11,2
28486,2,9,5
28487,1,3,3
28488,1,6,2
28489,2,3,6
28490,1,4,3
28491,1,8,3
28492,1,2,3
28493,1,11,3
28494,2,6,5
28495,2,3,2
28496,1,6,3
28497,3,4,4
28498,2,7,5
28499,1,9,4
28500,3,14,7
28501,2,1,3
28502,1,5,5
28503,1,5,5
28504,1,3,4
28505,1,5,4
28506,2,7,2
28507,3,5,5
28508,3,6,6
28509,2,7,6
28510,3,7,5
28511,2,4,8
28512,3,3,6
28513,1,2,4
28514,2,6,5
28515,0,5,6
28516,1,7,6
28517,2,2,2
28518,3,8,1
28519,2,1,3
28520,2,3,3
28521,1,4,4
28522,1,1,5
28523,1,3,3
28524,1,2,2
28525,0,9,3
28526,1,2,2
28527,1,3,3
28528,1,3,3
28529,2,3,3
28530,3,5,7
28531,2,7,3
28532,1,6,3
28533,3,9,5
28534,3,5,2
28535,1,6,5
28536,1,4,3
28537,2,7,13
28538,2,10,8
28539,2,6,8
28540,2,5,9
28541,2,6,4
28542,1,9,5
28543,2,7,5
28544,2,1,3
28545,1,8,9
28546,1,4,3
28547,2,9,9
28548,2,13,5
28549,2,8,3
28550,2,3,5
28551,2,4,7
28552,3,6,7
28553,2,1,2
28554,2,9,9
28556,4,3,15
28557,4,8,8
28558,1,5,4
28559,1,3,2
28560,1,7,4
28561,3,5,7
28562,2,4,16
28563,2,4,5
28564,3,6,5
28565,4,2,8
28566,2,1,3
28567,2,6,3
28568,2,2,3
28569,1,1,2
28570,4,7,9
28571,1,2,3
28572,2,5,4
28573,4,8,6
28574,1,11,3
28575,1,6,3
28576,2,7,3
28577,0,11,4
28578,1,7,4
28579,2,4,2
28580,1,3,2
28582,2,4,3
28583,4,8,5
28584,4,1,2
28585,3,5,4
28586,2,5,3
28587,2,3,2
28588,1,6,1
28589,2,7,3
28590,4,9,2
28591,3,11,4
28592,3,10,4
28593,2,10,2
28594,2,3,5
28595,3,5,4
28596,2,2,5
28597,2,6,5
28598,1,1,6
28599,2,5,3
28600,3,4,5
28601,2,7,9
28602,4,5,6
28603,3,1,6
28604,4,2,3
28605,3,3,7
28606,2,1,1
28607,2,2,3
28608,2,1,1
28609,2,9,6
28610,3,10,10
28611,2,7,5
28612,1,6,3
28613,2,4,4
28614,2,3,4
28615,3,3,6
28616,2,3,3
28617,4,3,6
28618,1,4,3
28619,1,7,5
28620,3,1,3
400001,3,2,8
400002,1,2,8
400003,1,7,11
400004,1,2,8
400005,1,7,5
400006,3,3,8
400007,2,5,9
400010,4,2,8
400012,1,6,13
400013,1,5,7
400014,1,5,5
400016,4,4,6
400017,1,12,20
400018,4,4,11
400020,1,5,17
400021,4,0,6
400024,2,4,6
400026,1,4,10
400027,1,6,15
400028,3,4,13
400029,1,2,8
400030,1,1,5
400031,1,3,6
400032,1,4,6
400033,4,5,8
400034,1,5,8
400035,1,3,7
400036,3,2,8
400037,2,7,7
400038,2,8,7
400039,3,5,12
400040,2,4,7
400041,1,1,6
400043,1,1,5
400045,1,4,9
400046,3,3,8
400047,1,6,15
400048,3,2,6
400049,1,3,8
400050,3,3,7
400051,1,2,5
400052,2,4,5
400053,3,5,8
400054,2,5,12
400055,1,2,3
400056,3,3,13
400057,1,5,15
400058,3,5,8
400059,1,6,7
400061,6,2,7
400062,3,3,12
400064,1,6,14
400065,2,3,8
400066,4,2,9
400067,3,3,9
400071,1,5,6
400072,4,1,7
400075,2,5,10
400076,3,7,12
400078,1,1,6
400079,2,5,10
400081,3,4,22
400082,2,3,11
400083,1,5,8
400084,4,4,11
400085,2,5,7
400086,6,7,15
400087,2,3,10
400088,1,4,6
400089,1,7,4
400090,2,3,11
400091,2,7,11
400092,1,3,5
400093,3,7,11
400094,1,8,9
400095,2,9,5
400096,1,5,5
400097,1,9,11
400098,1,8,11
400099,4,5,7
400100,2,7,7
400101,1,1,12
400102,2,3,6
400103,2,15,14
400104,1,3,5
400105,3,6,7
400106,1,5,7
400107,2,5,6
400109,2,4,6
400110,1,2,7
400111,3,3,11
400112,1,7,3
400113,1,8,8
400114,2,2,8
400116,1,6,8
400117,1,5,7
400119,2,4,6
400120,3,2,6
400121,3,4,8
400122,1,5,5
400123,3,4,11
400124,3,2,8
400125,3,7,11
400126,2,4,8
400127,3,3,10
400130,3,3,7
400132,6,3,9
400133,2,1,7
400134,1,9,8
400135,2,3,9
400136,2,4,8
400138,2,5,5
400139,1,3,6
400140,2,1,7
400141,1,3,7
400143,1,9,9
400144,2,2,3
400145,4,6,11
400147,1,2,3
400148,1,4,7
400149,3,4,11
400150,5,4,8
400153,2,2,3
400154,2,3,6
400155,3,8,10
400157,1,3,7
400159,1,1,11
400161,1,10,10
400162,4,1,6
400163,1,4,7
400165,2,2,5
400166,2,4,6
400167,2,3,8
400169,1,6,10
400170,2,2,5
400171,1,2,6
400173,1,5,4
400176,4,3,7
400177,2,2,7
400178,2,5,12
400180,4,3,6
400182,3,9,7
400184,3,3,4
400186,3,3,9
400189,4,1,7
400190,2,3,3
400191,2,3,11
400194,1,12,7
400196,7,3,16
400197,4,3,9
400198,9,3,22
400200,1,10,15
400201,3,5,7
400202,1,8,12
400203,2,6,12
400205,2,9,9
400206,1,1,3
400207,2,8,9
400210,2,3,9
400211,8,6,13
400212,1,1,3
400213,1,8,8
400214,3,2,4
400215,1,6,11
400216,2,8,7
400217,1,10,10
400218,2,9,8
400219,1,5,3
400220,2,2,6
400221,2,5,6
400222,2,9,8
400223,1,6,13
400224,1,3,11
400225,1,7,10
400226,2,7,9
400227,1,8,7
400229,1,2,7
400230,6,2,11
400231,1,7,6
400233,2,4,11
400236,2,3,7
400239,3,6,16
400240,2,5,13
400241,3,9,22
400242,3,4,9
400243,1,5,19
400244,2,5,12
400245,1,5,11
400246,2,5,11
400247,2,6,12
400248,2,5,11
400249,5,2,18
400253,2,4,9
400256,5,4,7
400257,3,6,18
400258,1,7,7
400259,1,4,8
400260,2,8,13
400261,2,4,5
400262,4,6,6
400263,3,2,9
400264,1,13,14
400266,1,4,9
400267,1,4,11
400268,5,4,12
400270,1,4,9
400271,1,7,10
400272,2,1,9
400280,4,2,4
400282,2,8,3
400284,2,5,7
400285,1,8,5
400287,2,4,9
400288,1,3,3
400289,2,7,10
400291,2,11,8
400294,3,2,13
400299,1,3,7
400300,2,9,10
400302,1,6,8
400304,1,1,4
400309,2,8,5
400311,3,9,12
400312,1,15,8
400315,3,10,8
400316,4,3,12
400317,2,8,6
400318,1,2,6
400319,2,4,17
400320,1,7,4
400322,1,6,15
400323,1,6,10
400325,1,9,12
400326,2,5,9
400327,1,4,13
400328,1,6,7
400331,2,5,10
400333,2,7,8
400334,1,1,5
400335,1,4,8
400336,3,6,10
400338,1,6,9
400339,1,6,5
400341,2,4,8
400342,1,5,7
400344,4,2,9
400345,2,6,5
400346,1,5,5
400348,1,6,7
400349,2,1,6
400350,1,3,13
400351,2,6,6
400352,1,4,10
400353,1,3,6
400354,2,8,7
400355,1,7,13
400358,2,4,11
400360,3,3,7
400361,1,5,12
400362,1,2,5
400363,1,8,6
400364,1,5,8
400365,1,3,6
400367,1,3,8
400368,1,2,6
400369,3,3,10
400370,3,5,11
400371,1,5,7
400372,1,2,6
400373,1,5,8
400375,2,4,6
400377,3,1,3
400378,4,3,4
400379,3,5,8
400380,1,3,5
400381,2,5,10
400382,3,6,7
400383,2,2,7
400384,1,6,9
400385,1,12,13
400386,2,2,21
400387,2,2,8
400388,1,4,5
400389,2,7,10
400390,2,4,6
400391,1,4,8
400392,1,8,7
400393,1,3,5
400394,1,1,6
400395,1,2,8
400396,3,6,14
400398,3,5,13
400399,2,2,6
400400,3,1,9
400403,2,4,9
400405,2,3,5
400406,4,4,5
400407,2,1,6
400408,2,4,9
400409,1,6,9
400411,2,5,11
400412,1,4,8
400413,1,4,8
400416,1,4,6
400417,3,3,6
400418,1,7,9
400419,2,1,6
400422,3,2,14
400423,1,3,7
400424,2,1,11
400425,1,1,6
400427,1,4,6
400428,2,4,11
400429,1,7,10
400430,1,1,9
400433,3,2,3
400434,2,7,9
400436,2,6,11
400437,3,7,9
400438,1,3,8
400439,7,3,10
400440,1,7,7
400441,4,6,14
400442,1,4,7
400445,1,7,8
400446,3,1,3
400449,2,5,5
400453,4,2,10
400454,1,2,8
400456,2,4,9
400458,2,4,8
400460,2,2,6
400462,2,2,9
400463,2,1,11
400464,1,3,15
400465,1,1,4
400466,1,1,6
400467,2,5,7
400468,5,2,10
400470,1,2,7
400471,2,7,10
400472,3,6,7
400473,1,6,10
400477,3,1,9
400478,2,7,13
400479,2,1,5
400480,2,3,4
400481,2,3,5
400482,3,4,13
400483,2,6,7
400486,2,6,8
400487,1,6,7
400489,1,2,6
400491,2,7,11
400492,3,2,20
400493,1,1,6
400494,2,3,7
400495,1,10,3
400496,3,5,11
400497,1,1,7
400498,2,5,13
400503,2,5,7
400504,3,8,9
400505,2,1,17
400506,1,7,10
400508,1,6,7
400510,3,5,12
400512,3,3,10
400513,2,5,6
400515,2,2,9
400516,2,3,8
400517,1,6,8
400518,3,5,10
400519,4,4,7
400520,1,5,9
400521,1,5,10
400522,1,1,8
400523,2,5,8
400524,1,4,6
400525,2,6,9
400527,1,7,8
400530,2,5,6
400531,1,9,8
400532,3,5,5
400533,3,4,8
400534,1,1,4
400536,2,2,5
400537,3,4,9
400538,3,4,10
400539,2,5,7
400540,2,4,5
400541,4,10,19
400542,1,7,8
400544,3,2,5
400545,4,3,10
400546,2,5,9
400547,6,7,13
400552,1,4,5
400553,2,4,6
400554,3,4,10
400555,1,7,3
400556,3,6,8
400557,1,10,5
400558,2,2,5
400559,1,1,3
400560,2,2,5
